At_CU,Access_ID,Box_No,Folder_Name,Goldsmiths_Binder,Goldsmiths_Binder_Starting_Page,Exact_Date,Exact_Unitdate,Implied_Date,Implied_Unitdate,Extent_Pages,Sender_Name,Sender_Address,Sender_Town,Sender_Address_Merged,Sender_Organization,Recipient_Name,Recipient_Address,Recipient_Town,Recipient_Address_Merged,Recipient Organization,Type,Format,Version,Language,Provenance,Notes,"Notes_Other
",Clues for unidentifiable
Y,,26S,,Not applicable,,,,1911-12-31,31 December 1911,1,Sergey Sergeevich Prokofiev,Not stated,St. Petersburg,St. Petersburg,Not stated,Nina Alfredovna Reberg,Zhelannaia Stantsiia,Ekaterininskaia Zheleznaia Doroga,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0013,"The date on the stamp says 31-2-11. It is a New Year card, so the most likely date is 31-12-11.",
Y,11828,26S,,XLIII,134,1912-08-29,29 August 1912,,,2,Sergey Sergeevich Prokofiev,Not stated,Kislovodsk,Kislovodsk,Not stated,Vera Reberg,Zhelannaia Stantsiia,Ekaterininskaia Zheleznaia Doroga,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0014,,
Y,11825,26S,,XLIII,128,1912-09-02,02 September 1912,,,2,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Nina Alfredovna Reberg,"Vysch. Zhensk. Kursy, Armianskii per.",Kharkov,"Vysch. Zhensk. Kursy, Armianskii per., Kharkov",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0011,,
Y,11821,26S,,XLIII,120,1913-01-22,22 January 1913,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Nina Alfredovna Reberg,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0007,,
Y,11824,26S,,XLIII,126,1913-01-22,22 January 1913,,,2,Sergey Sergeevich Prokofiev,Not stated,St. Petersburg,St. Petersburg,Not stated,Nina Alfredovna Reberg,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0010,,
Y,11830,26S,,XLIII,138,1913-01-29,29 January 1913,,,2,Sergey Sergeevich Prokofiev,Not stated,Yalta,Yalta,Not stated,Nina Alfredovna Reberg,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0016,,
Y,11823,26S,,XLIII,124,1913-07-11,11 July 1913,,,2,Sergey Sergeevich Prokofiev,Not stated,Lausanne,Lausanne,Not stated,Nina Alfredovna Reberg,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,"Original: spa-tex-cor-ori-0009
Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to N. A. Reberg)",,
Y,11822,26S,,XLIII,122,1913-07-23,23 July 1913,,,2,Sergey Sergeevich Prokofiev,Not stated,Lucerne,Lucerne,Not stated,Zina Reberg,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,"Original: spa-tex-cor-ori-0008
Addressed to: EV Sof'ia Iosifovna Kovalevskaia (please pass to Z. A. Reberg)",,
Y,11826,26S,,XLIII,130,1913-09-16,16 September 1913,,,2,Sergey Sergeevich Prokofiev,Not stated,St. Petersburg,St. Petersburg,Not stated,Vera Reberg,Rybnaia 30 kv. 8,Kharkov,"Rybnaia 30 kv. 8, Kharkov",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0012,,
Y,11829,26S,,XLIII,136,1914-04-19,19 April 1914,,,2,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Nina Alfredovna Reberg,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",Not stated,Postcard,Handwritten,Original,Russian,Serge Prokofiev Archive,"Original: spa-tex-cor-ori-0015
Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to Nina Alfredovna Reberg)",,
